recipe_name,recipe_url,state_id,,
Nine Smoothie Recipes That Don\'t Taste Green,http://greatist.com/eat/green-smoothie-recipes,,,
"Orecchiette with Wilted Spinach\, Kale and Toasted Pine Nuts",http://www.forkknifeswoon.com/orecchiette-with-wilted-spinach-kale-and-toasted-pine-nuts/,,,
Spinach Frittata,http://markbittman.com/how-to-cook-spinach-frittata/,,,
Spinach with Sesame and Garlic,http://www.simplyrecipes.com/recipes/spinach_with_sesame_and_garlic/,,,
High\-Protein Banana Peanut Butter Snack,http://www.popsugar.com/fitness/High-Protein-Banana-Peanut-Butter-Snack-34280337,,,
Frozen\-Banana Ice Cream,http://www.thekitchn.com/how-to-make-creamy-ice-cream-with-just-one-ingredient-cooking-lessons-from-the-kitchn-93414,,,
Banana Nut Overnight Oats,http://www.thehealthymaven.com/2016/02/banana-nut-overnight-oats.html,,,
Banana Bread,http://www.epicurious.com/recipes/food/views/our-favorite-banana-bread-56389378,,,
"Apple \""Cookies\""",http://rachelschultz.com/2014/04/09/apple-cookies/,,,
Tangy Apple Coleslaw,http://www.seriouseats.com/recipes/2014/06/tangy-apple-coleslaw-recipe.html,,,
Easy Apple Crisp,http://www.chowhound.com/recipes/apple-crisp-with-oatmeal-streusel-11416,,,
Easy Apple Butter,http://www.southernliving.com/food/holidays-occasions/apple-recipes/easy-apple-butter-recipe,,,
Baked Avocado Fries,http://www.thekitchn.com/how-to-make-crispy-baked-avocado-fries-231382,,,
Chunky Guacamole with Cumin,http://www.foodandwine.com/recipes/chunky-guacamole-cumin,,,
Creamy Cilantro\-Avocado Salad Dressing,http://www.eatingwell.com/recipe/250233/creamy-cilantro-avocado-dressing/,,,
Chocolate\-Avocado Mousse,http://www.foodnetwork.com/recipes/giada-de-laurentiis/chocolate-avocado-mousse-recipe.html,,,
Yogurt\-Berry Parfait,http://www.foodnetwork.com/recipes/tyler-florence/yogurt-berry-parfait-recipe.html,,,
How to Freeze Fresh Berries,http://www.cookinglight.com/cooking-101/techniques/how-to-freeze-fresh-berries,,,
Very Berry Fruit Leather,http://www.bakedbyrachel.com/very-berry-fruit-leather/,,,
Mixed\-Berry Jam,http://www.epicurious.com/recipes/food/views/mixed-berry-jam-242544,,,
Cucumber\-Infused Water,http://www.foodnetwork.com/recipes/food-network-kitchens/cucumber-infused-water.html,,,
Dill Pickles,http://www.thekitchn.com/how-to-make-dill-pickles-cooking-lessons-from-the-kitchn-193350,,,
Tzatziki,http://www.foodnetwork.com/recipes/tzatziki-yogurt-garlic-and-cucumber-salad.html,,,
Cucumber and Onion Relish,http://allrecipes.com/recipe/232721/cucumber-and-onion-relish/,,,
How to Prepare Garlic,http://www.jamieoliver.com/videos/jamie-oliver-talks-you-through-preparing-garlic,,,
Roasted Garlic,http://www.thekitchn.com/how-to-roast-garlic-in-the-oven-5341,,,
Spaghetti and Swiss Chard with Garlic Chips,http://www.epicurious.com/recipes/food/views/spaghetti-and-swiss-chard-with-garlic-chips-350562,,,
How to Grow Garlic Sprouts,http://homeguides.sfgate.com/grow-garlic-sprouts-container-29324.html,,,
Infused Olive Oils,http://www.thekitchn.com/fancy-flavors-how-to-infuse-ol-103225,,,
How to Make Pesto out of Just About Anything,http://www.bonappetit.com/test-kitchen/how-to/article/pesto-out-of-anything,,,
Herb Simple Syrup,http://toriavey.com/toris-kitchen/2013/02/infused-simple-syrups/,,,
How to Revive Wilted Herbs,http://www.theclevercarrot.com/2014/01/how-to-revive-wilted-herbs/,,,
Roasted Vegetables with Fresh Herbs,http://www.foodandwine.com/recipes/roasted-vegetables-fresh-herbs,,,
Infused Olive Oils,http://www.thekitchn.com/fancy-flavors-how-to-infuse-ol-103225,,,
How to Preserve Herbs in Oil,http://thepioneerwoman.com/food-and-friends/how-to-preserve-herbs-in-oil/,,,
How to Dry Herbs in the Microwave,http://www.seriouseats.com/2015/03/use-the-microwave-to-dry-your-herbs-for-long-lasting-intense-flavor.html,,,
The Fastest Way to Cut a Bell Pepper,http://www.telegraph.co.uk/news/newsvideo/viral-video/11490434/Life-hack-Is-this-the-fastest-way-to-cut-a-bell-pepper.html,,,
Vegetarian Stuffed Peppers,http://allrecipes.com/recipe/231514/vegetarian-mexican-inspired-stuffed-peppers/,,,
How to Roast Bell Peppers,http://toriavey.com/how-to/2010/02/roasted-bell-peppers/,,,
Romesco Sauce,http://www.chowhound.com/recipes/romesco-sauce-30559,,,
Pico de Gallo,http://www.epicurious.com/recipes/food/views/pico-de-gallo-fresh-tomato-salsa-364429,,,
How to Make Tomato Paste,http://www.thekitchn.com/how-to-make-tomato-paste-cooking-lessons-from-the-kitchn-206853,,,
Roasted Tomatoes,http://www.foodnetwork.com/recipes/ina-garten/roasted-tomatoes-recipe.html,,,
Pa amb Tomaquet,http://partaste.com/worldrecipes/pa-amb-tomaquet-spain-catalonia/,,,
Roasted Cauliflower,http://cooking.nytimes.com/recipes/7588-roasted-cauliflower,,,
How to Make Cauliflower Rice,http://minimalistbaker.com/how-to-make-cauliflower-rice/,,,
General Tso\'s Cauliflower,http://pinchofyum.com/general-tsos-cauliflower,,,
Garlic Mashed Cauliflower,http://www.foodnetwork.com/recipes/mock-garlic-mashed-potatoes-recipe.html,,,
Zucchini Ribbon Salad,http://www.splendidtable.org/recipes/zucchini-ribbon-salad-with-pecorino-romano-almonds-and-honey,,,
Zucchini Parmesean Crisps,http://www.foodnetwork.com/recipes/ellie-krieger/zucchini-parmesan-crisps-recipe.html,,,
Zucchini Fritters,http://damndelicious.net/2014/04/02/zucchini-fritters/,,,
Zucchini Bread,http://www.epicurious.com/recipes/food/views/james-beards-zucchini-bread-56389932,,,
"Green Salad with Peaches\, Feta and Mint Vinaigrette",http://www.eatingwell.com/recipe/251174/green-salad-with-peaches-feta-mint-vinaigrette/,,,
How to Freeze Peaches,http://www.bhg.com/recipes/how-to/preserving-canning/freeze-peaches/,,,
Peach Pops,https://silk.com/recipes/peach-pops,,,
Peach Preserves,http://cooking.nytimes.com/recipes/11486-peach-preserves,,,
Broccoli Salad,http://www.thekitchn.com/recipe-light-easy-broccoli-salad-83866,,,
Parmesan\-Roasted Broccoli,http://www.foodnetwork.com/recipes/ina-garten/parmesan-roasted-broccoli-recipe.html,,,
Broccoli Nuggets,http://www.momables.com/broccoli-nuggets-recipe/,,,
Broccoli Cheddar Soup,http://allrecipes.com/recipe/235874/copycat-panera-broccoli-cheddar-soup/,,,
Melon Balls with Fresh Mint,http://www.williams-sonoma.com/recipe/melon-balls-with-fresh-mint.html,,,
"Tomato\, Pickled Melon and Burrata Salad",http://www.epicurious.com/recipes/food/views/tomato-pickled-melon-and-burrata-salad-51242070,,,
Cantaloupe and Lime Granita,http://www.pitchforkdiaries.com/2012/06/29/cantaloupe-and-lime-granita/,,,
Cantaloupe Jam with Vanilla,http://www.cookingchanneltv.com/recipes/cantaloupe-jam-with-vanilla.html,,,
