category_id,stage1,stage2,stage3,stage4,,
36,0.00,1.67,3.33,5.00,,
37,0.00,1.67,3.33,5.00,,
19,0.00,10.00,20.00,30.00,,
20,0.00,2.33,4.67,7.00,,
21,0.00,1.67,3.33,5.00,,
38,0.00,2.33,4.67,7.00,,
39,0.00,10.00,20.00,30.00,,
22,0.00,4.67,9.33,14.00,,
23,0.00,4.67,9.33,14.00,,
24,0.00,2.33,4.67,7.00,,
40,0.00,2.33,4.67,7.00,,
25,0.00,2.33,4.67,7.00,,
26,0.00,2.33,4.67,7.00,,
27,0.00,1.00,2.00,3.00,,
28,0.00,1.00,2.00,3.00,,
29,0.00,1.67,3.33,5.00,,
30,0.00,2.33,4.67,7.00,,
41,0.00,10.00,20.00,30.00,,
31,0.00,1.00,2.00,3.00,,
32,0.00,2.33,4.67,7.00,,
42,0.00,1.33,2.67,4.00,,
33,0.00,1.67,3.33,5.00,,
43,0.00,9.33,18.67,28.00,,
44,0.00,7.00,14.00,21.00,,
34,0.00,9.33,18.67,28.00,,
35,0.00,1.67,3.33,5.00,,
